p_go,d,RT
0.75,1,274
0.75,1,274
0.75,1,274
0.75,1,274
0.75,1,274
0.75,1,275
0.75,1,275
0.75,1,275
0.75,1,275
0.75,1,275
0.75,1,275
0.75,1,275
0.75,1,275
0.75,1,276
0.75,1,276
0.75,1,276
0.75,1,276
0.75,1,277
0.75,1,277
0.75,1,277
0.75,1,278
0.75,1,278
0.75,1,278
0.75,1,278
0.75,1,278
0.75,1,279
0.75,1,279
0.75,1,279
0.75,1,279
0.75,1,280
0.75,1,280
0.75,1,280
0.75,1,281
0.75,1,281
0.75,1,281
0.75,1,282
0.75,1,282
0.75,1,282
0.75,1,283
0.75,1,283
0.75,1,284
0.75,1,284
0.75,1,284
0.75,1,284
0.75,1,284
0.75,1,285
0.75,1,285
0.75,1,285
0.75,1,285
0.75,1,285
0.75,1,286
0.75,1,286
0.75,1,287
0.75,1,287
0.75,1,287
0.75,1,288
0.75,1,288
0.75,1,289
0.75,1,289
0.75,1,289
0.75,1,289
0.75,1,290
0.75,1,290
0.75,1,290
0.75,1,290
0.75,1,291
0.75,1,291
0.75,1,291
0.75,1,291
0.75,1,292
0.75,1,292
0.75,1,292
0.75,1,292
0.75,1,292
0.75,1,293
0.75,1,294
0.75,1,294
0.75,1,294
0.75,1,294
0.75,1,294
0.75,1,295
0.75,1,295
0.75,1,295
0.75,1,295
0.75,1,295
0.75,1,295
0.75,1,295
0.75,1,295
0.75,1,295
0.75,1,295
0.75,1,296
0.75,1,296
0.75,1,296
0.75,1,296
0.75,1,297
0.75,1,297
0.75,1,297
0.75,1,297
0.75,1,297
0.75,1,297
0.75,1,298
0.75,1,298
0.75,1,298
0.75,1,298
0.75,1,299
0.75,1,299
0.75,1,299
0.75,1,300
0.75,1,300
0.75,1,300
0.75,1,300
0.75,1,300
0.75,1,300
0.75,1,300
0.75,1,301
0.75,1,301
0.75,1,301
0.75,1,302
0.75,1,302
0.75,1,302
0.75,1,303
0.75,1,303
0.75,1,303
0.75,1,303
0.75,1,304
0.75,1,304
0.75,1,304
0.75,1,305
0.75,1,305
0.75,1,306
0.75,1,306
0.75,1,307
0.75,1,307
0.75,1,308
0.75,1,308
0.75,1,308
0.75,1,308
0.75,1,308
0.75,1,309
0.75,1,309
0.75,1,309
0.75,1,309
0.75,1,310
0.75,1,311
0.75,1,311
0.75,1,311
0.75,1,311
0.75,1,312
0.75,1,312
0.75,1,312
0.75,1,312
0.75,1,312
0.75,1,312
0.75,1,313
0.75,1,314
0.75,1,314
0.75,1,314
0.75,1,314
0.75,1,314
0.75,1,314
0.75,1,315
0.75,1,315
0.75,1,315
0.75,1,316
0.75,1,316
0.75,1,316
0.75,1,316
0.75,1,317
0.75,1,317
0.75,1,318
0.75,1,318
0.75,1,318
0.75,1,319
0.75,1,319
0.75,1,319
0.75,1,319
0.75,1,319
0.75,1,319
0.75,1,319
0.75,1,320
0.75,1,320
0.75,1,320
0.75,1,320
0.75,1,321
0.75,1,321
0.75,1,321
0.75,1,321
0.75,1,321
0.75,1,322
0.75,1,322
0.75,1,322
0.75,1,323
0.75,1,323
0.75,1,324
0.75,1,324
0.75,1,324
0.75,1,325
0.75,1,325
0.75,1,325
0.75,1,325
0.75,1,325
0.75,1,325
0.75,1,325
0.75,1,327
0.75,1,327
0.75,1,327
0.75,1,327
0.75,1,327
0.75,1,328
0.75,1,328
0.75,1,329
0.75,1,329
0.75,1,329
0.75,1,329
0.75,1,330
0.75,1,330
0.75,1,330
0.75,1,330
0.75,1,330
0.75,1,331
0.75,1,331
0.75,1,331
0.75,1,331
0.75,1,332
0.75,1,332
0.75,1,332
0.75,1,332
0.75,1,333
0.75,1,333
0.75,1,333
0.75,1,333
0.75,1,333
0.75,1,333
0.75,1,334
0.75,1,334
0.75,1,335
0.75,1,335
0.75,1,335
0.75,1,336
0.75,1,336
0.75,1,336
0.75,1,337
0.75,1,337
0.75,1,337
0.75,1,337
0.75,1,337
0.75,1,337
0.75,1,337
0.75,1,338
0.75,1,338
0.75,1,339
0.75,1,339
0.75,1,339
0.75,1,339
0.75,1,340
0.75,1,340
0.75,1,340
0.75,1,340
0.75,1,340
0.75,1,340
0.75,1,340
0.75,1,341
0.75,1,341
0.75,1,341
0.75,1,341
0.75,1,342
0.75,1,342
0.75,1,342
0.75,1,343
0.75,1,343
0.75,1,344
0.75,1,344
0.75,1,344
0.75,1,345
0.75,1,345
0.75,1,345
0.75,1,345
0.75,1,345
0.75,1,346
0.75,1,346
0.75,1,346
0.75,1,346
0.75,1,346
0.75,1,347
0.75,1,347
0.75,1,347
0.75,1,347
0.75,1,347
0.75,1,347
0.75,1,347
0.75,1,348
0.75,1,348
0.75,1,349
0.75,1,349
0.75,1,349
0.75,1,350
0.75,1,350
0.75,1,350
0.75,1,350
0.75,1,350
0.75,1,350
0.75,1,351
0.75,1,351
0.75,1,351
0.75,1,352
0.75,1,352
0.75,1,353
0.75,1,353
0.75,1,353
0.75,1,353
0.75,1,353
0.75,1,353
0.75,1,354
0.75,1,354
0.75,1,354
0.75,1,355
0.75,1,355
0.75,1,356
0.75,1,356
0.75,1,356
0.75,1,356
0.75,1,356
0.75,1,357
0.75,1,357
0.75,1,358
0.75,1,359
0.75,1,359
0.75,1,359
0.75,1,359
0.75,1,359
0.75,1,360
0.75,1,360
0.75,1,360
0.75,1,361
0.75,1,361
0.75,1,362
0.75,1,362
0.75,1,362
0.75,1,362
0.75,1,362
0.75,1,363
0.75,1,364
0.75,1,365
0.75,1,365
0.75,1,366
0.75,1,366
0.75,1,366
0.75,1,367
0.75,1,367
0.75,1,368
0.75,1,368
0.75,1,368
0.75,1,369
0.75,1,369
0.75,1,369
0.75,1,369
0.75,1,369
0.75,1,369
0.75,1,370
0.75,1,370
0.75,1,370
0.75,1,371
0.75,1,371
0.75,1,372
0.75,1,372
0.75,1,373
0.75,1,373
0.75,1,373
0.75,1,373
0.75,1,374
0.75,1,375
0.75,1,375
0.75,1,375
0.75,1,376
0.75,1,377
0.75,1,377
0.75,1,377
0.75,1,378
0.75,1,378
0.75,1,378
0.75,1,378
0.75,1,379
0.75,1,379
0.75,1,379
0.75,1,380
0.75,1,380
0.75,1,380
0.75,1,380
0.75,1,381
0.75,1,381
0.75,1,381
0.75,1,382
0.75,1,382
0.75,1,382
0.75,1,382
0.75,1,383
0.75,1,383
0.75,1,384
0.75,1,385
0.75,1,386
0.75,1,387
0.75,1,387
0.75,1,388
0.75,1,388
0.75,1,388
0.75,1,388
0.75,1,388
0.75,1,389
0.75,1,390
0.75,1,391
0.75,1,391
0.75,1,392
0.75,1,392
0.75,1,393
0.75,1,393
0.75,1,394
0.75,1,394
0.75,1,395
0.75,1,396
0.75,1,396
0.75,1,400
0.75,1,400
0.75,1,401
0.75,1,401
0.75,1,403
0.75,1,403
0.75,1,404
0.75,1,404
0.75,1,405
0.75,1,405
0.75,1,406
0.75,1,406
0.75,1,407
0.75,1,408
0.75,1,408
0.75,1,411
0.75,1,412
0.75,1,412
0.75,1,414
0.75,1,414
0.75,1,417
0.75,1,419
0.75,1,420
0.75,1,421
0.75,1,422
0.75,1,422
0.75,1,422
0.75,1,423
0.75,1,423
0.75,1,426
0.75,1,426
0.75,1,430
0.75,1,430
0.75,1,432
0.75,1,434
0.75,1,438
0.75,1,439
0.75,1,443
0.75,1,445
0.75,1,446
0.75,1,446
0.75,1,447
0.75,1,448
0.75,1,448
0.75,1,448
0.75,1,448
0.75,1,450
0.75,1,451
0.75,1,456
0.75,1,456
0.75,1,460
0.75,1,463
0.75,1,465
0.75,1,467
0.75,1,469
0.75,1,470
0.75,1,481
0.75,1,491
0.75,1,494
0.75,1,520
0.75,1,531
0.75,1,537
0.75,4,179
0.75,4,188
0.75,4,199
0.75,4,203
0.75,4,203
0.75,4,205
0.75,4,205
0.75,4,206
0.75,4,207
0.75,4,212
0.75,4,213
0.75,4,214
0.75,4,214
0.75,4,214
0.75,4,215
0.75,4,216
0.75,4,216
0.75,4,216
0.75,4,217
0.75,4,218
0.75,4,219
0.75,4,219
0.75,4,219
0.75,4,220
0.75,4,220
0.75,4,220
0.75,4,221
0.75,4,221
0.75,4,221
0.75,4,222
0.75,4,222
0.75,4,223
0.75,4,223
0.75,4,224
0.75,4,225
0.75,4,225
0.75,4,225
0.75,4,226
0.75,4,226
0.75,4,226
0.75,4,227
0.75,4,228
0.75,4,228
0.75,4,228
0.75,4,228
0.75,4,230
0.75,4,230
0.75,4,230
0.75,4,230
0.75,4,231
0.75,4,231
0.75,4,232
0.75,4,233
0.75,4,233
0.75,4,234
0.75,4,234
0.75,4,235
0.75,4,235
0.75,4,235
0.75,4,236
0.75,4,236
0.75,4,237
0.75,4,237
0.75,4,237
0.75,4,238
0.75,4,238
0.75,4,239
0.75,4,239
0.75,4,240
0.75,4,241
0.75,4,242
0.75,4,242
0.75,4,242
0.75,4,242
0.75,4,242
0.75,4,243
0.75,4,243
0.75,4,243
0.75,4,243
0.75,4,243
0.75,4,244
0.75,4,245
0.75,4,245
0.75,4,246
0.75,4,246
0.75,4,247
0.75,4,248
0.75,4,248
0.75,4,248
0.75,4,248
0.75,4,249
0.75,4,249
0.75,4,249
0.75,4,249
0.75,4,250
0.75,4,250
0.75,4,250
0.75,4,251
0.75,4,251
0.75,4,251
0.75,4,251
0.75,4,251
0.75,4,252
0.75,4,252
0.75,4,253
0.75,4,253
0.75,4,253
0.75,4,254
0.75,4,254
0.75,4,254
0.75,4,254
0.75,4,254
0.75,4,254
0.75,4,254
0.75,4,254
0.75,4,255
0.75,4,256
0.75,4,256
0.75,4,256
0.75,4,257
0.75,4,257
0.75,4,257
0.75,4,257
0.75,4,257
0.75,4,257
0.75,4,257
0.75,4,257
0.75,4,258
0.75,4,258
0.75,4,259
0.75,4,259
0.75,4,259
0.75,4,259
0.75,4,259
0.75,4,259
0.75,4,259
0.75,4,259
0.75,4,260
0.75,4,260
0.75,4,260
0.75,4,261
0.75,4,261
0.75,4,261
0.75,4,261
0.75,4,261
0.75,4,261
0.75,4,261
0.75,4,262
0.75,4,262
0.75,4,262
0.75,4,262
0.75,4,262
0.75,4,262
0.75,4,262
0.75,4,262
0.75,4,263
0.75,4,263
0.75,4,263
0.75,4,263
0.75,4,264
0.75,4,264
0.75,4,264
0.75,4,265
0.75,4,265
0.75,4,265
0.75,4,265
0.75,4,266
0.75,4,266
0.75,4,266
0.75,4,266
0.75,4,266
0.75,4,266
0.75,4,267
0.75,4,267
0.75,4,267
0.75,4,267
0.75,4,267
0.75,4,268
0.75,4,268
0.75,4,268
0.75,4,268
0.75,4,268
0.75,4,269
0.75,4,269
0.75,4,269
0.75,4,270
0.75,4,271
0.75,4,271
0.75,4,271
0.75,4,271
0.75,4,271
0.75,4,272
0.75,4,272
0.75,4,272
0.75,4,272
0.75,4,272
0.75,4,273
0.75,4,273
0.75,4,273
0.75,4,273
0.75,4,274
0.75,4,274
0.75,4,274
0.75,4,275
0.75,4,275
0.75,4,275
0.75,4,276
0.75,4,276
0.75,4,276
0.75,4,276
0.75,4,276
0.75,4,276
0.75,4,276
0.75,4,276
0.75,4,277
0.75,4,277
0.75,4,278
0.75,4,278
0.75,4,278
0.75,4,278
0.75,4,279
0.75,4,279
0.75,4,279
0.75,4,279
0.75,4,279
0.75,4,279
0.75,4,279
0.75,4,280
0.75,4,280
0.75,4,280
0.75,4,280
0.75,4,280
0.75,4,281
0.75,4,281
0.75,4,281
0.75,4,281
0.75,4,281
0.75,4,283
0.75,4,283
0.75,4,284
0.75,4,285
0.75,4,285
0.75,4,285
0.75,4,285
0.75,4,285
0.75,4,286
0.75,4,286
0.75,4,286
0.75,4,286
0.75,4,286
0.75,4,287
0.75,4,287
0.75,4,287
0.75,4,287
0.75,4,288
0.75,4,288
0.75,4,288
0.75,4,291
0.75,4,291
0.75,4,291
0.75,4,291
0.75,4,291
0.75,4,291
0.75,4,292
0.75,4,292
0.75,4,292
0.75,4,292
0.75,4,293
0.75,4,293
0.75,4,293
0.75,4,293
0.75,4,294
0.75,4,294
0.75,4,294
0.75,4,295
0.75,4,295
0.75,4,295
0.75,4,295
0.75,4,295
0.75,4,295
0.75,4,295
0.75,4,295
0.75,4,295
0.75,4,296
0.75,4,296
0.75,4,296
0.75,4,296
0.75,4,296
0.75,4,296
0.75,4,296
0.75,4,298
0.75,4,298
0.75,4,298
0.75,4,298
0.75,4,298
0.75,4,299
0.75,4,299
0.75,4,299
0.75,4,299
0.75,4,299
0.75,4,299
0.75,4,300
0.75,4,300
0.75,4,300
0.75,4,301
0.75,4,301
0.75,4,301
0.75,4,301
0.75,4,302
0.75,4,302
0.75,4,302
0.75,4,302
0.75,4,303
0.75,4,303
0.75,4,303
0.75,4,303
0.75,4,304
0.75,4,304
0.75,4,304
0.75,4,304
0.75,4,305
0.75,4,305
0.75,4,306
0.75,4,306
0.75,4,306
0.75,4,306
0.75,4,306
0.75,4,307
0.75,4,307
0.75,4,307
0.75,4,307
0.75,4,307
0.75,4,308
0.75,4,308
0.75,4,308
0.75,4,308
0.75,4,308
0.75,4,309
0.75,4,309
0.75,4,309
0.75,4,309
0.75,4,310
0.75,4,310
0.75,4,310
0.75,4,310
